"Estacion","Fecha inicial","Fecha final","O3"
"UNIVERSIDAD DE MEDELLÍN","2024-04-26","","27.29553138"
"UNIVERSIDAD DE MEDELLÍN","2024-04-25","","31.23576682"
"UNIVERSIDAD DE MEDELLÍN","2024-04-24","","50.4628078"
"UNIVERSIDAD DE MEDELLÍN","2024-04-23","","31.14584443"
"UNIVERSIDAD DE MEDELLÍN","2024-04-22","","22.59504305"
"UNIVERSIDAD DE MEDELLÍN","2024-04-21","","40.36697633"
"UNIVERSIDAD DE MEDELLÍN","2024-04-20","","38.24971289"
"UNIVERSIDAD DE MEDELLÍN","2024-04-19","","22.96290735"
"UNIVERSIDAD DE MEDELLÍN","2024-04-18","","32.83802024"
"UNIVERSIDAD DE MEDELLÍN","2024-04-17","","47.56894193"
"UNIVERSIDAD DE MEDELLÍN","2024-04-16","","54.0842275"
"UNIVERSIDAD DE MEDELLÍN","2024-04-15","","47.78312071"
"UNIVERSIDAD DE MEDELLÍN","2024-04-14","","72.16680175"
"UNIVERSIDAD DE MEDELLÍN","2024-04-13","","67.1883715"
"UNIVERSIDAD DE MEDELLÍN","2024-04-12","","57.95906484"
"UNIVERSIDAD DE MEDELLÍN","2024-04-11","","47.72426242"
"UNIVERSIDAD DE MEDELLÍN","2024-04-10","","48.28832102"
"UNIVERSIDAD DE MEDELLÍN","2024-04-09","","48.41094245"
"UNIVERSIDAD DE MEDELLÍN","2024-04-08","","42.04280261"
"UNIVERSIDAD DE MEDELLÍN","2024-04-07","","50.09494349"
"UNIVERSIDAD DE MEDELLÍN","2024-04-06","","32.20038878"
"UNIVERSIDAD DE MEDELLÍN","2024-04-05","","38.90369388"
"UNIVERSIDAD DE MEDELLÍN","2024-04-04","","20.75572153"
"UNIVERSIDAD DE MEDELLÍN","2024-04-03","","24.54063648"
"UNIVERSIDAD DE MEDELLÍN","2024-04-02","","37.7919262"
"UNIVERSIDAD DE MEDELLÍN","2024-04-01","","35.01601048"
"UNIVERSIDAD DE MEDELLÍN","2024-03-31","","48.16996468"
"UNIVERSIDAD DE MEDELLÍN","2024-03-30","","59.70846397"
"UNIVERSIDAD DE MEDELLÍN","2024-03-29","","50.45463303"
"UNIVERSIDAD DE MEDELLÍN","2024-03-28","","61.00007642"
"UNIVERSIDAD DE MEDELLÍN","2024-03-27","","52.7844403"
"UNIVERSIDAD DE MEDELLÍN","2024-03-26","","50.29931255"
"UNIVERSIDAD DE MEDELLÍN","2024-03-25","","48.37006864"
