"Estacion","Fecha inicial","Fecha final","VViento"
"ALMACÉN GENERAL DE EPM","2024-12-09","","1.67286261"
"ALMACÉN GENERAL DE EPM","2024-12-08","","1.84262296"
"ALMACÉN GENERAL DE EPM","2024-12-07","","2.20817512"
"ALMACÉN GENERAL DE EPM","2024-12-06","","1.15573902"
"ALMACÉN GENERAL DE EPM","2024-12-05","","1.49528525"
"ALMACÉN GENERAL DE EPM","2024-12-04","","2.81046111"
"ALMACÉN GENERAL DE EPM","2024-11-14","","1.21407413"
"ALMACÉN GENERAL DE EPM","2024-11-13","","1.47638996"
"ALMACÉN GENERAL DE EPM","2024-11-12","","1.42795531"
"ALMACÉN GENERAL DE EPM","2024-11-11","","0.7829041"
"ALMACÉN GENERAL DE EPM","2024-11-10","","1.04919293"
"ALMACÉN GENERAL DE EPM","2024-11-09","","1.08969539"
"ALMACÉN GENERAL DE EPM","2024-11-08","","0.80945913"
"ALMACÉN GENERAL DE EPM","2024-11-07","","0.99345546"
"ALMACÉN GENERAL DE EPM","2024-11-06","","1.98353419"
"ALMACÉN GENERAL DE EPM","2024-11-05","","1.51456006"
"ALMACÉN GENERAL DE EPM","2024-11-04","","1.00790049"
"ALMACÉN GENERAL DE EPM","2024-11-03","","1.40692336"
"ALMACÉN GENERAL DE EPM","2024-11-02","","1.30341305"
"ALMACÉN GENERAL DE EPM","2024-11-01","","1.04598799"
"ALMACÉN GENERAL DE EPM","2024-10-31","","1.13090458"
"ALMACÉN GENERAL DE EPM","2024-10-30","","1.14725082"
"ALMACÉN GENERAL DE EPM","2024-10-29","","2.06255873"
"ALMACÉN GENERAL DE EPM","2024-10-28","","1.9632859"
"ALMACÉN GENERAL DE EPM","2024-10-27","","2.07041889"
"ALMACÉN GENERAL DE EPM","2024-10-26","","1.57815171"
"ALMACÉN GENERAL DE EPM","2024-10-25","","1.88655867"
"ALMACÉN GENERAL DE EPM","2024-10-24","","1.29659779"
"ALMACÉN GENERAL DE EPM","2024-10-23","","1.36517587"
"ALMACÉN GENERAL DE EPM","2024-10-22","","1.00484555"
"ALMACÉN GENERAL DE EPM","2024-10-21","","0.91317718"
"ALMACÉN GENERAL DE EPM","2024-10-20","","0.93871699"
"ALMACÉN GENERAL DE EPM","2024-10-19","","1.22224573"
"ALMACÉN GENERAL DE EPM","2024-10-18","","1.77196695"
"ALMACÉN GENERAL DE EPM","2024-10-17","","1.44378428"
"ALMACÉN GENERAL DE EPM","2024-10-16","","1.12991805"
"ALMACÉN GENERAL DE EPM","2024-10-15","","1.14840862"
"ALMACÉN GENERAL DE EPM","2024-10-14","","1.11882578"
"ALMACÉN GENERAL DE EPM","2024-10-13","","1.1211735"
"ALMACÉN GENERAL DE EPM","2024-10-12","","2.0626855"
"ALMACÉN GENERAL DE EPM","2024-10-11","","1.78852181"
"ALMACÉN GENERAL DE EPM","2024-10-10","","0.76660876"
"ALMACÉN GENERAL DE EPM","2024-10-09","","1.50843032"
"ALMACÉN GENERAL DE EPM","2024-10-08","","0.85496253"
"ALMACÉN GENERAL DE EPM","2024-10-07","","1.11001025"
"ALMACÉN GENERAL DE EPM","2024-10-06","","1.02265664"
"ALMACÉN GENERAL DE EPM","2024-10-05","","1.02739225"
"ALMACÉN GENERAL DE EPM","2024-10-04","","1.55867944"
"ALMACÉN GENERAL DE EPM","2024-10-03","","1.84356931"
"ALMACÉN GENERAL DE EPM","2024-10-02","","1.71419806"
"ALMACÉN GENERAL DE EPM","2024-10-01","","1.22533537"
"ALMACÉN GENERAL DE EPM","2024-09-30","","0.83721624"
"ALMACÉN GENERAL DE EPM","2024-09-29","","0.87941924"
"ALMACÉN GENERAL DE EPM","2024-09-28","","1.25959893"
"ALMACÉN GENERAL DE EPM","2024-09-27","","0.90590781"
"ALMACÉN GENERAL DE EPM","2024-09-26","","1.04351576"
"ALMACÉN GENERAL DE EPM","2024-09-25","","1.2124611"
"ALMACÉN GENERAL DE EPM","2024-09-24","","1.87300373"
"ALMACÉN GENERAL DE EPM","2024-09-23","","1.44790806"
"ALMACÉN GENERAL DE EPM","2024-09-22","","1.02716127"
"ALMACÉN GENERAL DE EPM","2024-09-21","","1.4339198"
"ALMACÉN GENERAL DE EPM","2024-09-20","","1.82975923"
"ALMACÉN GENERAL DE EPM","2024-09-19","","2.0127489"
"ALMACÉN GENERAL DE EPM","2024-09-18","","2.13009649"
"ALMACÉN GENERAL DE EPM","2024-09-17","","1.66566754"
"ALMACÉN GENERAL DE EPM","2024-09-16","","1.72124576"
"ALMACÉN GENERAL DE EPM","2024-09-15","","2.19891498"
"ALMACÉN GENERAL DE EPM","2024-09-14","","1.66850124"
"ALMACÉN GENERAL DE EPM","2024-09-13","","2.0107135"
"ALMACÉN GENERAL DE EPM","2024-09-12","","2.21213884"
"ALMACÉN GENERAL DE EPM","2024-09-11","","2.23764707"
"ALMACÉN GENERAL DE EPM","2024-09-10","","1.89550295"
"ALMACÉN GENERAL DE EPM","2024-09-09","","1.95209825"
"ALMACÉN GENERAL DE EPM","2024-09-08","","1.87571779"
"ALMACÉN GENERAL DE EPM","2024-09-07","","2.17923043"
"ALMACÉN GENERAL DE EPM","2024-09-06","","1.65182666"
"ALMACÉN GENERAL DE EPM","2024-09-05","","1.52060935"
"ALMACÉN GENERAL DE EPM","2024-09-04","","2.20124148"
"ALMACÉN GENERAL DE EPM","2024-09-03","","1.47703679"
"ALMACÉN GENERAL DE EPM","2024-09-02","","1.1707291"
"ALMACÉN GENERAL DE EPM","2024-09-01","","1.22080535"
"ALMACÉN GENERAL DE EPM","2024-08-31","","1.26338221"
"ALMACÉN GENERAL DE EPM","2024-08-30","","1.85067472"
"ALMACÉN GENERAL DE EPM","2024-08-29","","1.02235178"
"ALMACÉN GENERAL DE EPM","2024-08-28","","2.45238733"
"ALMACÉN GENERAL DE EPM","2024-08-27","","2.39739927"
"ALMACÉN GENERAL DE EPM","2024-08-26","","1.15641852"
"ALMACÉN GENERAL DE EPM","2024-08-25","","1.44376626"
"ALMACÉN GENERAL DE EPM","2024-08-24","","0.89184155"
"ALMACÉN GENERAL DE EPM","2024-08-23","","2.19293881"
"ALMACÉN GENERAL DE EPM","2024-08-22","","1.83842766"
"ALMACÉN GENERAL DE EPM","2024-08-21","","1.83224404"
"ALMACÉN GENERAL DE EPM","2024-08-20","","1.9260236"
"ALMACÉN GENERAL DE EPM","2024-08-19","","1.9410976"
"ALMACÉN GENERAL DE EPM","2024-08-18","","2.05213769"
"ALMACÉN GENERAL DE EPM","2024-08-17","","1.80230641"
"ALMACÉN GENERAL DE EPM","2024-08-16","","1.89192336"
"ALMACÉN GENERAL DE EPM","2024-08-15","","2.07830066"
"ALMACÉN GENERAL DE EPM","2024-08-14","","2.09188962"
"ALMACÉN GENERAL DE EPM","2024-08-13","","1.36861606"
"ALMACÉN GENERAL DE EPM","2024-08-12","","1.23601534"
"ALMACÉN GENERAL DE EPM","2024-08-11","","0.97823578"
"ALMACÉN GENERAL DE EPM","2024-08-10","","1.52031966"
"ALMACÉN GENERAL DE EPM","2024-08-09","","1.69548209"
"ALMACÉN GENERAL DE EPM","2024-08-08","","1.89465146"
"ALMACÉN GENERAL DE EPM","2024-08-07","","1.32598295"
"ALMACÉN GENERAL DE EPM","2024-08-06","","1.09195199"
