"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"ALMACÉN GENERAL DE EPM","2024-10-16","","22.25625695"
"ALMACÉN GENERAL DE EPM","2024-10-15","","22.95188889"
"ALMACÉN GENERAL DE EPM","2024-10-14","","23.44340972"
"ALMACÉN GENERAL DE EPM","2024-10-13","","23.91990278"
"ALMACÉN GENERAL DE EPM","2024-10-12","","24.60095833"
"ALMACÉN GENERAL DE EPM","2024-10-11","","23.52660417"
"ALMACÉN GENERAL DE EPM","2024-10-10","","20.29359028"
"ALMACÉN GENERAL DE EPM","2024-10-09","","21.87888889"
"ALMACÉN GENERAL DE EPM","2024-10-08","","20.27803472"
"ALMACÉN GENERAL DE EPM","2024-10-07","","21.56211111"
"ALMACÉN GENERAL DE EPM","2024-10-06","","22.48440278"
"ALMACÉN GENERAL DE EPM","2024-10-05","","21.90102083"
"ALMACÉN GENERAL DE EPM","2024-10-04","","22.6993125"
"ALMACÉN GENERAL DE EPM","2024-10-03","","23.9072394"
"ALMACÉN GENERAL DE EPM","2024-10-02","","21.84530556"
"ALMACÉN GENERAL DE EPM","2024-10-01","","21.80981945"
"ALMACÉN GENERAL DE EPM","2024-09-30","","20.96617542"
"ALMACÉN GENERAL DE EPM","2024-09-29","","20.13413889"
"ALMACÉN GENERAL DE EPM","2024-09-28","","20.96859028"
"ALMACÉN GENERAL DE EPM","2024-09-27","","21.00478618"
"ALMACÉN GENERAL DE EPM","2024-09-26","","21.26254861"
"ALMACÉN GENERAL DE EPM","2024-09-25","","22.82211111"
"ALMACÉN GENERAL DE EPM","2024-09-24","","24.38406944"
"ALMACÉN GENERAL DE EPM","2024-09-23","","22.49017361"
"ALMACÉN GENERAL DE EPM","2024-09-22","","21.52933719"
"ALMACÉN GENERAL DE EPM","2024-09-21","","22.89486806"
"ALMACÉN GENERAL DE EPM","2024-09-20","","23.27240972"
"ALMACÉN GENERAL DE EPM","2024-09-19","","25.43075694"
"ALMACÉN GENERAL DE EPM","2024-09-18","","25.73263889"
"ALMACÉN GENERAL DE EPM","2024-09-17","","24.17225694"
"ALMACÉN GENERAL DE EPM","2024-09-16","","25.43009722"
"ALMACÉN GENERAL DE EPM","2024-09-15","","26.35420833"
"ALMACÉN GENERAL DE EPM","2024-09-14","","24.54327778"
"ALMACÉN GENERAL DE EPM","2024-09-13","","23.80854987"
"ALMACÉN GENERAL DE EPM","2024-09-12","","25.03229167"
"ALMACÉN GENERAL DE EPM","2024-09-11","","25.44734722"
"ALMACÉN GENERAL DE EPM","2024-09-10","","24.31854861"
"ALMACÉN GENERAL DE EPM","2024-09-09","","25.30822768"
"ALMACÉN GENERAL DE EPM","2024-09-08","","24.55302778"
"ALMACÉN GENERAL DE EPM","2024-09-07","","24.25177778"
"ALMACÉN GENERAL DE EPM","2024-09-06","","25.14711111"
"ALMACÉN GENERAL DE EPM","2024-09-05","","24.05915972"
"ALMACÉN GENERAL DE EPM","2024-09-04","","24.69490972"
"ALMACÉN GENERAL DE EPM","2024-09-03","","23.26322222"
"ALMACÉN GENERAL DE EPM","2024-09-02","","22.7239375"
"ALMACÉN GENERAL DE EPM","2024-09-01","","20.92316667"
"ALMACÉN GENERAL DE EPM","2024-08-31","","23.61716201"
"ALMACÉN GENERAL DE EPM","2024-08-30","","24.26567361"
"ALMACÉN GENERAL DE EPM","2024-08-29","","22.12050505"
"ALMACÉN GENERAL DE EPM","2024-08-28","","24.92841667"
"ALMACÉN GENERAL DE EPM","2024-08-27","","23.98895833"
"ALMACÉN GENERAL DE EPM","2024-08-26","","23.13665972"
"ALMACÉN GENERAL DE EPM","2024-08-25","","22.07465278"
"ALMACÉN GENERAL DE EPM","2024-08-24","","21.5086875"
"ALMACÉN GENERAL DE EPM","2024-08-23","","22.99644445"
"ALMACÉN GENERAL DE EPM","2024-08-22","","23.85781944"
"ALMACÉN GENERAL DE EPM","2024-08-21","","24.79350694"
"ALMACÉN GENERAL DE EPM","2024-08-20","","24.81357639"
"ALMACÉN GENERAL DE EPM","2024-08-19","","24.51430556"
"ALMACÉN GENERAL DE EPM","2024-08-18","","24.30091667"
"ALMACÉN GENERAL DE EPM","2024-08-17","","24.38826389"
"ALMACÉN GENERAL DE EPM","2024-08-16","","24.27370139"
"ALMACÉN GENERAL DE EPM","2024-08-15","","25.12225"
"ALMACÉN GENERAL DE EPM","2024-08-14","","24.85901389"
"ALMACÉN GENERAL DE EPM","2024-08-13","","22.58415972"
"ALMACÉN GENERAL DE EPM","2024-08-12","","23.42091667"
"ALMACÉN GENERAL DE EPM","2024-08-11","","21.22247917"
"ALMACÉN GENERAL DE EPM","2024-08-10","","22.008125"
"ALMACÉN GENERAL DE EPM","2024-08-09","","21.972"
"ALMACÉN GENERAL DE EPM","2024-08-08","","22.85911111"
"ALMACÉN GENERAL DE EPM","2024-08-07","","21.94384028"
"ALMACÉN GENERAL DE EPM","2024-08-06","","21.16528115"
"ALMACÉN GENERAL DE EPM","2024-08-05","","21.54998189"
"ALMACÉN GENERAL DE EPM","2024-08-04","","23.811375"
"ALMACÉN GENERAL DE EPM","2024-08-03","","23.36389435"
"ALMACÉN GENERAL DE EPM","2024-08-02","","24.87170387"
"ALMACÉN GENERAL DE EPM","2024-08-01","","24.23155556"
"ALMACÉN GENERAL DE EPM","2024-07-31","","24.64041667"
"ALMACÉN GENERAL DE EPM","2024-07-30","","24.80011111"
"ALMACÉN GENERAL DE EPM","2024-07-29","","25.69340972"
"ALMACÉN GENERAL DE EPM","2024-07-28","","23.69922222"
"ALMACÉN GENERAL DE EPM","2024-07-27","","23.31485417"
"ALMACÉN GENERAL DE EPM","2024-07-26","","24.33598237"
"ALMACÉN GENERAL DE EPM","2024-07-25","","25.02738889"
"ALMACÉN GENERAL DE EPM","2024-07-24","","24.88949306"
"ALMACÉN GENERAL DE EPM","2024-07-23","","24.49259028"
"ALMACÉN GENERAL DE EPM","2024-07-22","","25.21814583"
"ALMACÉN GENERAL DE EPM","2024-07-21","","24.49046528"
"ALMACÉN GENERAL DE EPM","2024-07-20","","24.48711111"
"ALMACÉN GENERAL DE EPM","2024-07-19","","23.27551389"
"ALMACÉN GENERAL DE EPM","2024-07-18","","24.23102083"
"ALMACÉN GENERAL DE EPM","2024-07-17","","24.92216667"
"ALMACÉN GENERAL DE EPM","2024-07-16","","24.90446528"
"ALMACÉN GENERAL DE EPM","2024-07-15","","24.73125694"
"ALMACÉN GENERAL DE EPM","2024-07-14","","24.90721528"
"ALMACÉN GENERAL DE EPM","2024-07-13","","23.69730556"
"ALMACÉN GENERAL DE EPM","2024-07-12","","22.02123611"
"ALMACÉN GENERAL DE EPM","2024-07-11","","24.47732639"
"ALMACÉN GENERAL DE EPM","2024-07-10","","24.55825695"
"ALMACÉN GENERAL DE EPM","2024-07-09","","24.60229167"
"ALMACÉN GENERAL DE EPM","2024-07-08","","24.76018056"
"ALMACÉN GENERAL DE EPM","2024-07-07","","24.27407639"
"ALMACÉN GENERAL DE EPM","2024-07-06","","23.17136111"
"ALMACÉN GENERAL DE EPM","2024-07-05","","20.28559722"
"ALMACÉN GENERAL DE EPM","2024-07-04","","21.9795625"
"ALMACÉN GENERAL DE EPM","2024-07-03","","21.60524305"
"ALMACÉN GENERAL DE EPM","2024-07-02","","21.515875"
"ALMACÉN GENERAL DE EPM","2024-07-01","","22.32845833"
"ALMACÉN GENERAL DE EPM","2024-06-30","","22.20864583"
"ALMACÉN GENERAL DE EPM","2024-06-29","","21.67632639"
"ALMACÉN GENERAL DE EPM","2024-06-28","","20.61456944"
"ALMACÉN GENERAL DE EPM","2024-06-27","","20.71129167"
"ALMACÉN GENERAL DE EPM","2024-06-26","","20.85908333"
"ALMACÉN GENERAL DE EPM","2024-06-25","","22.07255556"
"ALMACÉN GENERAL DE EPM","2024-06-24","","23.53850694"
"ALMACÉN GENERAL DE EPM","2024-06-23","","21.42792361"
"ALMACÉN GENERAL DE EPM","2024-06-22","","22.75951389"
"ALMACÉN GENERAL DE EPM","2024-06-21","","23.44277778"
"ALMACÉN GENERAL DE EPM","2024-06-20","","22.73411806"
"ALMACÉN GENERAL DE EPM","2024-06-19","","21.54180556"
"ALMACÉN GENERAL DE EPM","2024-06-18","","22.55882639"
"ALMACÉN GENERAL DE EPM","2024-06-17","","24.0970625"
"ALMACÉN GENERAL DE EPM","2024-06-16","","21.24153472"
"ALMACÉN GENERAL DE EPM","2024-06-15","","21.27683333"
"ALMACÉN GENERAL DE EPM","2024-06-14","","21.49242361"
"ALMACÉN GENERAL DE EPM","2024-06-13","","22.90602083"
"ALMACÉN GENERAL DE EPM","2024-06-12","","24.32564583"
"ALMACÉN GENERAL DE EPM","2024-06-11","","22.7326875"
"ALMACÉN GENERAL DE EPM","2024-06-10","","22.0690625"
"ALMACÉN GENERAL DE EPM","2024-06-09","","20.62850695"
"ALMACÉN GENERAL DE EPM","2024-06-08","","24.66135417"
"ALMACÉN GENERAL DE EPM","2024-06-07","","23.83611111"
"ALMACÉN GENERAL DE EPM","2024-06-06","","23.4280625"
"ALMACÉN GENERAL DE EPM","2024-06-05","","23.35070833"
"ALMACÉN GENERAL DE EPM","2024-06-04","","21.71019444"
"ALMACÉN GENERAL DE EPM","2024-06-03","","23.09375694"
"ALMACÉN GENERAL DE EPM","2024-06-02","","24.31172917"
"ALMACÉN GENERAL DE EPM","2024-06-01","","26.11947222"
"ALMACÉN GENERAL DE EPM","2024-05-31","","23.36084028"
"ALMACÉN GENERAL DE EPM","2024-05-30","","22.13705556"
"ALMACÉN GENERAL DE EPM","2024-05-29","","22.057"
"ALMACÉN GENERAL DE EPM","2024-05-28","","23.33576389"
"ALMACÉN GENERAL DE EPM","2024-05-27","","22.20952083"
"ALMACÉN GENERAL DE EPM","2024-05-26","","23.56895833"
"ALMACÉN GENERAL DE EPM","2024-05-25","","22.56013889"
"ALMACÉN GENERAL DE EPM","2024-05-24","","23.11288194"
"ALMACÉN GENERAL DE EPM","2024-05-23","","22.78150694"
"ALMACÉN GENERAL DE EPM","2024-05-22","","22.79981944"
"ALMACÉN GENERAL DE EPM","2024-05-21","","22.12866667"
