"Estacion","Fecha inicial","Fecha final","PM10"
"ALMACÉN GENERAL DE EPM","2024-11-11","","19.2173913"
"ALMACÉN GENERAL DE EPM","2024-11-10","","27.0"
"ALMACÉN GENERAL DE EPM","2024-11-09","","26.7826087"
"ALMACÉN GENERAL DE EPM","2024-11-08","","28.45833333"
"ALMACÉN GENERAL DE EPM","2024-11-07","","41.08333333"
"ALMACÉN GENERAL DE EPM","2024-11-06","","27.41666667"
"ALMACÉN GENERAL DE EPM","2024-11-05","","28.29166667"
"ALMACÉN GENERAL DE EPM","2024-11-04","","24.85714286"
"ALMACÉN GENERAL DE EPM","2024-11-03","","25.90909091"
"ALMACÉN GENERAL DE EPM","2024-11-02","","29.625"
"ALMACÉN GENERAL DE EPM","2024-11-01","","36.40909091"
"ALMACÉN GENERAL DE EPM","2024-10-31","","38.41666667"
"ALMACÉN GENERAL DE EPM","2024-10-30","","42.86956522"
"ALMACÉN GENERAL DE EPM","2024-10-29","","32.375"
"ALMACÉN GENERAL DE EPM","2024-10-28","","27.71428571"
"ALMACÉN GENERAL DE EPM","2024-10-27","","20.54545455"
"ALMACÉN GENERAL DE EPM","2024-10-26","","30.5"
"ALMACÉN GENERAL DE EPM","2024-10-25","","31.77272727"
"ALMACÉN GENERAL DE EPM","2024-10-24","","39.625"
"ALMACÉN GENERAL DE EPM","2024-10-23","","25.83333333"
"ALMACÉN GENERAL DE EPM","2024-10-22","","34.95833333"
"ALMACÉN GENERAL DE EPM","2024-10-21","","41.5"
"ALMACÉN GENERAL DE EPM","2024-10-20","","22.0"
"ALMACÉN GENERAL DE EPM","2024-10-19","","35.58333333"
"ALMACÉN GENERAL DE EPM","2024-10-18","","39.47619048"
"ALMACÉN GENERAL DE EPM","2024-10-17","","32.77272727"
"ALMACÉN GENERAL DE EPM","2024-10-16","","41.13043478"
"ALMACÉN GENERAL DE EPM","2024-10-15","","36.58333333"
"ALMACÉN GENERAL DE EPM","2024-10-14","","27.17391304"
"ALMACÉN GENERAL DE EPM","2024-10-13","","23.56521739"
"ALMACÉN GENERAL DE EPM","2024-10-12","","25.72222222"
"ALMACÉN GENERAL DE EPM","2024-10-11","","35.91304348"
"ALMACÉN GENERAL DE EPM","2024-10-10","","42.36842105"
"ALMACÉN GENERAL DE EPM","2024-10-09","","36.375"
"ALMACÉN GENERAL DE EPM","2024-10-08","","39.41666667"
"ALMACÉN GENERAL DE EPM","2024-10-07","","31.25"
"ALMACÉN GENERAL DE EPM","2024-10-06","","29.125"
"ALMACÉN GENERAL DE EPM","2024-10-05","","33.5"
"ALMACÉN GENERAL DE EPM","2024-10-04","","31.16666667"
"ALMACÉN GENERAL DE EPM","2024-10-03","","28.08333333"
"ALMACÉN GENERAL DE EPM","2024-10-02","","29.875"
"ALMACÉN GENERAL DE EPM","2024-10-01","","46.58333333"
"ALMACÉN GENERAL DE EPM","2024-09-30","","49.8"
"ALMACÉN GENERAL DE EPM","2024-09-29","","23.82352941"
"ALMACÉN GENERAL DE EPM","2024-09-28","","48.58333333"
"ALMACÉN GENERAL DE EPM","2024-09-27","","50.58333333"
"ALMACÉN GENERAL DE EPM","2024-09-26","","40.47619048"
"ALMACÉN GENERAL DE EPM","2024-09-25","","37.75"
"ALMACÉN GENERAL DE EPM","2024-09-24","","32.43478261"
"ALMACÉN GENERAL DE EPM","2024-09-23","","27.13636364"
"ALMACÉN GENERAL DE EPM","2024-09-22","","29.1875"
"ALMACÉN GENERAL DE EPM","2024-09-21","","38.95652174"
"ALMACÉN GENERAL DE EPM","2024-09-20","","42.0"
"ALMACÉN GENERAL DE EPM","2024-09-19","","37.71428571"
"ALMACÉN GENERAL DE EPM","2024-09-18","","34.90909091"
"ALMACÉN GENERAL DE EPM","2024-09-17","","30.90909091"
"ALMACÉN GENERAL DE EPM","2024-09-16","","44.28571429"
"ALMACÉN GENERAL DE EPM","2024-09-15","","27.2"
"ALMACÉN GENERAL DE EPM","2024-09-14","","40.65"
"ALMACÉN GENERAL DE EPM","2024-09-13","","30.66666667"
"ALMACÉN GENERAL DE EPM","2024-09-12","","38.13636364"
"ALMACÉN GENERAL DE EPM","2024-09-11","","36.29166667"
"ALMACÉN GENERAL DE EPM","2024-09-10","","43.08333333"
"ALMACÉN GENERAL DE EPM","2024-09-09","","44.7"
"ALMACÉN GENERAL DE EPM","2024-09-08","","28.61904762"
"ALMACÉN GENERAL DE EPM","2024-09-07","","25.63636364"
"ALMACÉN GENERAL DE EPM","2024-09-06","","40.52173913"
"ALMACÉN GENERAL DE EPM","2024-09-05","","27.82608696"
"ALMACÉN GENERAL DE EPM","2024-09-04","","34.17391304"
"ALMACÉN GENERAL DE EPM","2024-09-03","","38.125"
"ALMACÉN GENERAL DE EPM","2024-09-02","","46.94736842"
"ALMACÉN GENERAL DE EPM","2024-09-01","","24.1"
"ALMACÉN GENERAL DE EPM","2024-08-31","","53.125"
"ALMACÉN GENERAL DE EPM","2024-08-30","","50.17391304"
"ALMACÉN GENERAL DE EPM","2024-08-29","","39.20833333"
"ALMACÉN GENERAL DE EPM","2024-08-28","","32.52173913"
"ALMACÉN GENERAL DE EPM","2024-08-27","","38.625"
"ALMACÉN GENERAL DE EPM","2024-08-26","","42.7826087"
"ALMACÉN GENERAL DE EPM","2024-08-25","","21.08695652"
"ALMACÉN GENERAL DE EPM","2024-08-24","","26.17391304"
"ALMACÉN GENERAL DE EPM","2024-08-23","","26.88888889"
"ALMACÉN GENERAL DE EPM","2024-08-22","","31.75"
"ALMACÉN GENERAL DE EPM","2024-08-21","","45.0"
"ALMACÉN GENERAL DE EPM","2024-08-20","","35.5"
"ALMACÉN GENERAL DE EPM","2024-08-19","","24.375"
"ALMACÉN GENERAL DE EPM","2024-08-18","","33.6"
"ALMACÉN GENERAL DE EPM","2024-08-17","","25.56521739"
"ALMACÉN GENERAL DE EPM","2024-08-16","","33.4"
"ALMACÉN GENERAL DE EPM","2024-08-15","","43.28571429"
"ALMACÉN GENERAL DE EPM","2024-08-14","","25.61904762"
"ALMACÉN GENERAL DE EPM","2024-08-13","","31.85714286"
"ALMACÉN GENERAL DE EPM","2024-08-12","","34.83333333"
"ALMACÉN GENERAL DE EPM","2024-08-11","","26.27272727"
"ALMACÉN GENERAL DE EPM","2024-08-10","","29.08695652"
"ALMACÉN GENERAL DE EPM","2024-08-09","","26.52380952"
"ALMACÉN GENERAL DE EPM","2024-08-08","","35.76190476"
"ALMACÉN GENERAL DE EPM","2024-08-07","","24.47058824"
"ALMACÉN GENERAL DE EPM","2024-08-06","","31.34782609"
"ALMACÉN GENERAL DE EPM","2024-08-05","","27.05"
"ALMACÉN GENERAL DE EPM","2024-08-04","","22.0952381"
"ALMACÉN GENERAL DE EPM","2024-08-03","","25.40909091"
"ALMACÉN GENERAL DE EPM","2024-08-02","","30.375"
"ALMACÉN GENERAL DE EPM","2024-08-01","","40.33333333"
"ALMACÉN GENERAL DE EPM","2024-07-31","","36.69565217"
"ALMACÉN GENERAL DE EPM","2024-07-30","","36.91666667"
"ALMACÉN GENERAL DE EPM","2024-07-29","","29.83333333"
