"Estacion","Fecha inicial","Fecha final","O3"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-12","","30.84337823"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-11","","25.26001557"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-10","","31.12949491"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-09","","32.75627261"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-08","","29.27382386"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-07","","34.59559414"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-06","","33.7127198"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-05","","23.28989785"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-04","","16.75826275"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-03","","26.32273467"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-02","","52.19585741"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-01","","56.8636467"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-30","","48.78413813"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-29","","32.44563164"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-28","","26.88679327"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-27","","14.13825143"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-26","","34.75908938"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-25","","31.13766967"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-24","","42.39431739"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-23","","44.02926985"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-22","","46.82503856"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-21","","51.56640071"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-20","","44.65872655"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-19","","47.91228195"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-18","","45.95851376"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-17","","47.88775766"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-16","","40.39967538"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-15","","33.58192361"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-14","","31.35838826"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-12","","17.73596433"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-11","","44.57697892"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-10","","36.50848852"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-09","","38.28241194"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-08","","40.66126777"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-07","","46.28550425"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-06","","44.44618273"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-05","","43.87394937"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-04","","48.15752482"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-03","","47.4463205"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-02","","28.9631829"
"MEDELLÍN - TANQUES LA YE EPM","2023-09-01","","41.62588973"
"MEDELLÍN - TANQUES LA YE EPM","2023-08-31","","47.22311394"
