"Estacion","Fecha inicial","Fecha final","VViento"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-30","","0.61479704"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-29","","0.55566354"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-28","","0.95217416"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-27","","0.78643524"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-26","","0.614007"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-25","","0.45606487"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-24","","0.42873423"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-23","","0.86089344"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-22","","0.83056564"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-21","","0.7666274"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-20","","0.66194508"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-19","","0.73935742"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-18","","0.78456332"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-17","","0.70462824"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-16","","0.56423295"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-15","","0.82418505"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-14","","0.76521308"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-13","","0.5684109"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-12","","0.54147371"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-11","","0.41211954"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-10","","0.66462397"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-09","","0.68350427"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-08","","0.58155321"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-07","","0.5076565"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-06","","0.45574713"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-05","","0.51909695"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-04","","0.95330832"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-03","","0.90017599"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-02","","0.97708881"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-01","","0.709315"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-31","","0.90055695"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-30","","0.61098801"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-29","","0.75188479"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-28","","0.80124523"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-27","","0.66405017"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-26","","0.80064335"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-25","","0.92140369"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-24","","0.72231128"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-23","","0.61055185"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-22","","0.82009364"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-21","","0.7624417"
