"Estacion","Fecha inicial","Fecha final","PM10"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-23","","27.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-22","","21.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-21","","31.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-20","","40.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-19","","38.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-18","","31.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-17","","29.29166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-16","","32.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-15","","20.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-14","","36.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-13","","27.04347826"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-12","","33.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-11","","33.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-10","","38.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-09","","33.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-08","","26.77272727"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-07","","28.95652174"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-06","","40.70833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-05","","25.26086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-04","","37.73913043"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-03","","35.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-02","","39.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-01","","19.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-31","","48.86956522"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-30","","39.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-29","","33.29166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-28","","30.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-27","","33.82608696"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-26","","37.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-25","","19.65217391"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-24","","24.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-23","","28.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-22","","33.66666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-21","","37.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-20","","33.70833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-19","","21.65217391"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-18","","21.86956522"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-17","","21.79166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-16","","32.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-15","","36.95833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-14","","26.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-13","","31.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-12","","32.45454545"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-11","","17.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-10","","30.2173913"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-09","","28.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-08","","38.125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-07","","20.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-06","","34.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-05","","21.86956522"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-04","","16.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-03","","21.79166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-02","","25.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-01","","34.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-31","","23.40909091"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-30","","25.95833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-29","","20.08695652"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-28","","14.56521739"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-27","","22.52380952"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-26","","36.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-25","","33.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-24","","31.40909091"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-23","","30.79166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-22","","17.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-21","","11.14285714"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-20","","18.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-19","","30.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-18","","32.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-17","","31.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-16","","26.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-15","","23.04347826"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-14","","16.21052632"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-13","","28.60869565"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-12","","32.95833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-11","","41.125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-10","","23.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-09","","24.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-08","","16.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-07","","20.65217391"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-06","","28.04545455"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-05","","26.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-04","","25.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-03","","28.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-07-02","","31.79166667"
